region,municipality,students,year,metadata,city
აჭარის არ,ქედა,3141,2007,,მაღალმთიანი
აჭარის არ,ქობულეთი,12953,2007,,10 ქალაქები
აჭარის არ,შუახევი,3618,2007,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,12836,2007,,10 ქალაქები
აჭარის არ,ხულო,5867,2007,,მაღალმთიანი
გურია,ლანჩხუთი,4768,2007,,მუნიციპალიტეტები
გურია,ოზურგეთი,10651,2007,,10 ქალაქები
გურია,ჩოხატაური,3244,2007,,პატარა ქალაქები
იმერეთი,ქუთაისი,27574,2007,,დიდი ქალაქები
იმერეთი,ტყიბული,3119,2007,,პატარა ქალაქები
იმერეთი,წყალტუბო,7890,2007,,მუნიციპალიტეტები
იმერეთი,ჭიათური,6931,2007,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,3503,2007,,პატარა ქალაქები
იმერეთი,ვანი,4045,2007,,პატარა ქალაქები
იმერეთი,ზესტაფონი,10203,2007,,10 ქალაქები
იმერეთი,თერჯოლა,5139,2007,,მუნიციპალიტეტები
იმერეთი,სამტრედია,7914,2007,,მუნიციპალიტეტები
იმერეთი,საჩხერე,6181,2007,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,3117,2007,,პატარა ქალაქები
იმერეთი,ხონი,3750,2007,,პატარა ქალაქები
კახეთი,ახმეტა,5903,2007,,მუნიციპალიტეტები
კახეთი,გურჯაანი,7942,2007,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,3703,2007,,პატარა ქალაქები
კახეთი,თელავი,9564,2007,,10 ქალაქები
კახეთი,ლაგოდეხი,7392,2007,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7581,2007,,მუნიციპალიტეტები
კახეთი,სიღნაღი,4866,2007,,მუნიციპალიტეტები
კახეთი,ყვარლი,4975,2007,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,1136,2007,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,4112,2007,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1518,2007,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,8208,2007,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,631,2007,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1429,2007,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,1006,2007,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,821,2007,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1550,2007,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6682,2007,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,3665,2007,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,16796,2007,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,5575,2007,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,2088,2007,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,6312,2007,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,3401,2007,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,4706,2007,,მუნიციპალიტეტები
