region,municipality,students,year,metadata,city
კახეთი,ყვარლი,4090,2011,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,,2011,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,3631,2011,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1217,2011,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,6887,2011,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,555,2011,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1246,2011,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,822,2011,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,693,2011,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1313,2011,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6149,2011,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,3156,2011,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,14435,2011,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,4843,2011,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,1720,2011,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,5533,2011,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,2793,2011,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,3824,2011,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ხობი,4146,2011,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,2569,2011,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,1755,2011,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,7754,2011,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,6646,2011,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ბორჯომი,3921,2011,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,4000,2011,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,19232,2011,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,7245,2011,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,12277,2011,,დიდი ქალაქები
ქვემო ქართლი,დმანისი,3089,2011,,პატარა ქალაქები
ქვემო ქართლი,თეთრი წყარო,3186,2011,,პატარა ქალაქები
ქვემო ქართლი,მარნეული,17391,2011,,დიდი ქალაქები
ქვემო ქართლი,წალკა,3458,2011,,პატარა ქალაქები
შიდა ქართლი,გორი,19381,2011,,დიდი ქალაქები
შიდა ქართლი,კასპი,5861,2011,,მუნიციპალიტეტები
შიდა ქართლი,ქარელი,6282,2011,,მუნიციპალიტეტები
შიდა ქართლი,ხაშური,8886,2011,,10 ქალაქები
შიდა ქართლი,ერედვი,,2011,,პატარა ქალაქები
შიდა ქართლი,თიღვა,,2011,,პატარა ქალაქები
შიდა ქართლი,ქურთა,,2011,,პატარა ქალაქები
თბილისი,თბილისი,171536,2012,,დედაქალაქი
აფხაზეთის არ,აფხაზეთი,2381,2012,,აფხაზეთი
აჭარის არ,ბათუმი,25625,2012,,დიდი ქალაქები
აჭარის არ,ქედა,2641,2012,,მაღალმთიანი
აჭარის არ,ქობულეთი,11071,2012,,10 ქალაქები
აჭარის არ,შუახევი,2942,2012,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,7876,2012,,10 ქალაქები
აჭარის არ,ხულო,4691,2012,,მაღალმთიანი
გურია,ლანჩხუთი,4124,2012,,მუნიციპალიტეტები
გურია,ოზურგეთი,8755,2012,,10 ქალაქები
გურია,ჩოხატაური,2736,2012,,პატარა ქალაქები
იმერეთი,ქუთაისი,26535,2012,,დიდი ქალაქები
იმერეთი,ტყიბული,2539,2012,,პატარა ქალაქები
იმერეთი,წყალტუბო,6224,2012,,მუნიციპალიტეტები
იმერეთი,ჭიათური,5831,2012,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,2640,2012,,პატარა ქალაქები
იმერეთი,ვანი,3045,2012,,პატარა ქალაქები
იმერეთი,ზესტაფონი,9105,2012,,10 ქალაქები
იმერეთი,თერჯოლა,4205,2012,,მუნიციპალიტეტები
იმერეთი,სამტრედია,6715,2012,,მუნიციპალიტეტები
იმერეთი,საჩხერე,5809,2012,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,2583,2012,,პატარა ქალაქები
იმერეთი,ხონი,3152,2012,,პატარა ქალაქები
კახეთი,ახმეტა,5051,2012,,მუნიციპალიტეტები
კახეთი,გურჯაანი,6610,2012,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,3052,2012,,პატარა ქალაქები
კახეთი,თელავი,8259,2012,,10 ქალაქები
კახეთი,ლაგოდეხი,6656,2012,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7221,2012,,მუნიციპალიტეტები
კახეთი,სიღნაღი,3939,2012,,მუნიციპალიტეტები
კახეთი,ყვარლი,3903,2012,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,,2012,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,3504,2012,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1138,2012,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,6704,2012,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,556,2012,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1156,2012,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,770,2012,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,675,2012,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1224,2012,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6144,2012,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,3039,2012,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,14292,2012,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,4679,2012,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,1631,2012,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,5391,2012,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,2683,2012,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,3663,2012,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ხობი,4016,2012,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,2458,2012,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,1697,2012,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,7550,2012,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,6421,2012,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ბორჯომი,3821,2012,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,4018,2012,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,19202,2012,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,7343,2012,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,12176,2012,,დიდი ქალაქები
ქვემო ქართლი,დმანისი,3091,2012,,პატარა ქალაქები
ქვემო ქართლი,თეთრი წყარო,3087,2012,,პატარა ქალაქები
ქვემო ქართლი,მარნეული,17470,2012,,დიდი ქალაქები
ქვემო ქართლი,წალკა,3458,2012,,პატარა ქალაქები
შიდა ქართლი,გორი,18672,2012,,დიდი ქალაქები
შიდა ქართლი,კასპი,5676,2012,,მუნიციპალიტეტები
შიდა ქართლი,ქარელი,6046,2012,,მუნიციპალიტეტები
შიდა ქართლი,ხაშური,8512,2012,,10 ქალაქები
შიდა ქართლი,ერედვი,,2012,,პატარა ქალაქები
შიდა ქართლი,თიღვა,,2012,,პატარა ქალაქები
შიდა ქართლი,ქურთა,,2012,,პატარა ქალაქები
თბილისი,თბილისი,172614,2013,,დედაქალაქი
აფხაზეთის არ,აფხაზეთი,2277,2013,,აფხაზეთი
აჭარის არ,ბათუმი,25698,2013,,დიდი ქალაქები
აჭარის არ,ქედა,2507,2013,,მაღალმთიანი
აჭარის არ,ქობულეთი,10811,2013,,10 ქალაქები
აჭარის არ,შუახევი,2689,2013,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,7490,2013,,10 ქალაქები
აჭარის არ,ხულო,4433,2013,,მაღალმთიანი
გურია,ლანჩხუთი,3935,2013,,მუნიციპალიტეტები
გურია,ოზურგეთი,8514,2013,,10 ქალაქები
გურია,ჩოხატაური,2627,2013,,პატარა ქალაქები
იმერეთი,ქუთაისი,26308,2013,,დიდი ქალაქები
იმერეთი,ტყიბული,2436,2013,,პატარა ქალაქები
იმერეთი,წყალტუბო,5934,2013,,მუნიციპალიტეტები
იმერეთი,ჭიათური,5585,2013,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,2591,2013,,პატარა ქალაქები
იმერეთი,ვანი,2882,2013,,პატარა ქალაქები
იმერეთი,ზესტაფონი,8856,2013,,10 ქალაქები
იმერეთი,თერჯოლა,3980,2013,,მუნიციპალიტეტები
იმერეთი,სამტრედია,6460,2013,,მუნიციპალიტეტები
იმერეთი,საჩხერე,5645,2013,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,2440,2013,,პატარა ქალაქები
იმერეთი,ხონი,3017,2013,,პატარა ქალაქები
კახეთი,ახმეტა,4874,2013,,მუნიციპალიტეტები
კახეთი,გურჯაანი,6522,2013,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,2965,2013,,პატარა ქალაქები
კახეთი,თელავი,8204,2013,,10 ქალაქები
კახეთი,ლაგოდეხი,6609,2013,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7090,2013,,მუნიციპალიტეტები
კახეთი,სიღნაღი,3784,2013,,მუნიციპალიტეტები
კახეთი,ყვარლი,3799,2013,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,,2013,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,3365,2013,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1121,2013,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,6622,2013,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,535,2013,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1133,2013,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,721,2013,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,624,2013,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1149,2013,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6052,2013,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,2918,2013,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,14070,2013,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,4513,2013,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,1594,2013,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,5276,2013,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,2658,2013,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,3584,2013,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ხობი,3963,2013,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,2407,2013,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,1660,2013,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,7576,2013,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,6292,2013,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ბორჯომი,3740,2013,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,4000,2013,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,19119,2013,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,7381,2013,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,11991,2013,,დიდი ქალაქები
ქვემო ქართლი,დმანისი,3001,2013,,პატარა ქალაქები
ქვემო ქართლი,თეთრი წყარო,3039,2013,,პატარა ქალაქები
ქვემო ქართლი,მარნეული,17828,2013,,დიდი ქალაქები
ქვემო ქართლი,წალკა,3413,2013,,პატარა ქალაქები
შიდა ქართლი,გორი,18439,2013,,დიდი ქალაქები
შიდა ქართლი,კასპი,5510,2013,,მუნიციპალიტეტები
შიდა ქართლი,ქარელი,5900,2013,,მუნიციპალიტეტები
შიდა ქართლი,ხაშური,8246,2013,,10 ქალაქები
შიდა ქართლი,ერედვი,,2013,,პატარა ქალაქები
შიდა ქართლი,თიღვა,,2013,,პატარა ქალაქები
შიდა ქართლი,ქურთა,,2013,,პატარა ქალაქები
თბილისი,თბილისი,177581,2014,,დედაქალაქი
აფხაზეთის არ,აფხაზეთი,2277,2014,,აფხაზეთი
აჭარის არ,ბათუმი,26621,2014,,დიდი ქალაქები
აჭარის არ,ქედა,2424,2014,,მაღალმთიანი
აჭარის არ,ქობულეთი,10966,2014,,10 ქალაქები
აჭარის არ,შუახევი,2534,2014,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,7289,2014,,10 ქალაქები
აჭარის არ,ხულო,4164,2014,,მაღალმთიანი
გურია,ლანჩხუთი,3779,2014,,მუნიციპალიტეტები
გურია,ოზურგეთი,8353,2014,,10 ქალაქები
გურია,ჩოხატაური,2517,2014,,პატარა ქალაქები
იმერეთი,ქუთაისი,26644,2014,,დიდი ქალაქები
იმერეთი,ტყიბული,2288,2014,,პატარა ქალაქები
იმერეთი,წყალტუბო,5682,2014,,მუნიციპალიტეტები
იმერეთი,ჭიათური,5423,2014,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,2497,2014,,პატარა ქალაქები
იმერეთი,ვანი,2699,2014,,პატარა ქალაქები
იმერეთი,ზესტაფონი,8613,2014,,10 ქალაქები
იმერეთი,თერჯოლა,3827,2014,,მუნიციპალიტეტები
იმერეთი,სამტრედია,6319,2014,,მუნიციპალიტეტები
იმერეთი,საჩხერე,5560,2014,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,2326,2014,,პატარა ქალაქები
იმერეთი,ხონი,2855,2014,,პატარა ქალაქები
კახეთი,ახმეტა,4821,2014,,მუნიციპალიტეტები
კახეთი,გურჯაანი,6514,2014,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,2928,2014,,პატარა ქალაქები
კახეთი,თელავი,8053,2014,,10 ქალაქები
კახეთი,ლაგოდეხი,6367,2014,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7200,2014,,მუნიციპალიტეტები
კახეთი,სიღნაღი,3659,2014,,მუნიციპალიტეტები
კახეთი,ყვარლი,3750,2014,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,,2014,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,3311,2014,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1083,2014,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,6614,2014,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,529,2014,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1087,2014,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,658,2014,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,597,2014,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1094,2014,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6030,2014,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,2784,2014,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,13909,2014,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,4323,2014,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,1516,2014,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,5196,2014,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,2631,2014,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,3483,2014,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ხობი,3831,2014,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,2298,2014,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,1610,2014,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,7441,2014,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,6220,2014,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ბორჯომი,3696,2014,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,3999,2014,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,19644,2014,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,7403,2014,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,12121,2014,,დიდი ქალაქები
ქვემო ქართლი,დმანისი,3004,2014,,პატარა ქალაქები
ქვემო ქართლი,თეთრი წყარო,2971,2014,,პატარა ქალაქები
ქვემო ქართლი,მარნეული,17630,2014,,დიდი ქალაქები
ქვემო ქართლი,წალკა,3281,2014,,პატარა ქალაქები
შიდა ქართლი,გორი,18332,2014,,დიდი ქალაქები
შიდა ქართლი,კასპი,5419,2014,,მუნიციპალიტეტები
შიდა ქართლი,ქარელი,5761,2014,,მუნიციპალიტეტები
შიდა ქართლი,ხაშური,7958,2014,,10 ქალაქები
შიდა ქართლი,ერედვი,,2014,,პატარა ქალაქები
შიდა ქართლი,თიღვა,,2014,,პატარა ქალაქები
შიდა ქართლი,ქურთა,,2014,,პატარა ქალაქები
თბილისი,თბილისი,180612,2015,,დედაქალაქი
აფხაზეთის არ,აფხაზეთი,2256,2015,,აფხაზეთი
აჭარის არ,ბათუმი,27239,2015,,დიდი ქალაქები
აჭარის არ,ქედა,2291,2015,,მაღალმთიანი
აჭარის არ,ქობულეთი,10982,2015,,10 ქალაქები
აჭარის არ,შუახევი,2410,2015,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,7257,2015,,10 ქალაქები
აჭარის არ,ხულო,3936,2015,,მაღალმთიანი
გურია,ლანჩხუთი,3719,2015,,მუნიციპალიტეტები
გურია,ოზურგეთი,8206,2015,,10 ქალაქები
გურია,ჩოხატაური,2480,2015,,პატარა ქალაქები
იმერეთი,ქუთაისი,27070,2015,,დიდი ქალაქები
იმერეთი,ტყიბული,2211,2015,,პატარა ქალაქები
იმერეთი,წყალტუბო,5559,2015,,მუნიციპალიტეტები
იმერეთი,ჭიათური,5293,2015,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,2409,2015,,პატარა ქალაქები
იმერეთი,ვანი,2565,2015,,პატარა ქალაქები
იმერეთი,ზესტაფონი,8471,2015,,10 ქალაქები
იმერეთი,თერჯოლა,3720,2015,,მუნიციპალიტეტები
იმერეთი,სამტრედია,6253,2015,,მუნიციპალიტეტები
იმერეთი,საჩხერე,5393,2015,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,2243,2015,,პატარა ქალაქები
იმერეთი,ხონი,2783,2015,,პატარა ქალაქები
კახეთი,ახმეტა,4760,2015,,მუნიციპალიტეტები
კახეთი,გურჯაანი,6520,2015,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,2765,2015,,პატარა ქალაქები
კახეთი,თელავი,8133,2015,,10 ქალაქები
კახეთი,ლაგოდეხი,6111,2015,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7261,2015,,მუნიციპალიტეტები
კახეთი,სიღნაღი,3562,2015,,მუნიციპალიტეტები
კახეთი,ყვარლი,3611,2015,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,,2015,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,3212,2015,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1040,2015,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,6527,2015,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,496,2015,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1063,2015,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,618,2015,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,571,2015,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1009,2015,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,5992,2015,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,2722,2015,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,13885,2015,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,4194,2015,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,1491,2015,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,5161,2015,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,2609,2015,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,3471,2015,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ხობი,3763,2015,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,2239,2015,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,1555,2015,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,7315,2015,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,6169,2015,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ბორჯომი,3615,2015,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,3917,2015,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,20167,2015,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,7326,2015,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,12206,2015,,დიდი ქალაქები
ქვემო ქართლი,დმანისი,2881,2015,,პატარა ქალაქები
ქვემო ქართლი,თეთრი წყარო,2860,2015,,პატარა ქალაქები
ქვემო ქართლი,მარნეული,17450,2015,,დიდი ქალაქები
ქვემო ქართლი,წალკა,3156,2015,,პატარა ქალაქები
შიდა ქართლი,გორი,18252,2015,,დიდი ქალაქები
შიდა ქართლი,კასპი,5394,2015,,მუნიციპალიტეტები
შიდა ქართლი,ქარელი,5681,2015,,მუნიციპალიტეტები
შიდა ქართლი,ხაშური,7826,2015,,10 ქალაქები
შიდა ქართლი,ერედვი,,2015,,პატარა ქალაქები
შიდა ქართლი,თიღვა,,2015,,პატარა ქალაქები
შიდა ქართლი,ქურთა,,2015,,პატარა ქალაქები
თბილისი,თბილისი,187661,2016,,დედაქალაქი
აფხაზეთის არ,აფხაზეთი,2260,2016,,აფხაზეთი
აჭარის არ,ბათუმი,28612,2016,,დიდი ქალაქები
აჭარის არ,ქედა,2268,2016,,მაღალმთიანი
აჭარის არ,ქობულეთი,11119,2016,,10 ქალაქები
აჭარის არ,შუახევი,2174,2016,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,7258,2016,,10 ქალაქები
აჭარის არ,ხულო,3785,2016,,მაღალმთიანი
გურია,ლანჩხუთი,3762,2016,,მუნიციპალიტეტები
გურია,ოზურგეთი,8168,2016,,10 ქალაქები
გურია,ჩოხატაური,2448,2016,,პატარა ქალაქები
იმერეთი,ქუთაისი,28039,2016,,დიდი ქალაქები
იმერეთი,ტყიბული,2215,2016,,პატარა ქალაქები
იმერეთი,წყალტუბო,5514,2016,,მუნიციპალიტეტები
იმერეთი,ჭიათური,5330,2016,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,2389,2016,,პატარა ქალაქები
იმერეთი,ვანი,2562,2016,,პატარა ქალაქები
იმერეთი,ზესტაფონი,8487,2016,,10 ქალაქები
იმერეთი,თერჯოლა,3675,2016,,მუნიციპალიტეტები
იმერეთი,სამტრედია,6283,2016,,მუნიციპალიტეტები
იმერეთი,საჩხერე,5316,2016,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,2212,2016,,პატარა ქალაქები
იმერეთი,ხონი,2758,2016,,პატარა ქალაქები
კახეთი,ახმეტა,4685,2016,,მუნიციპალიტეტები
კახეთი,გურჯაანი,6646,2016,,მუნიციპალიტეტები
კახეთი,დედოფლისწყარო,2747,2016,,პატარა ქალაქები
კახეთი,თელავი,8130,2016,,10 ქალაქები
კახეთი,ლაგოდეხი,6108,2016,,მუნიციპალიტეტები
კახეთი,საგარეჯო,7430,2016,,მუნიციპალიტეტები
კახეთი,სიღნაღი,3576,2016,,მუნიციპალიტეტები
კახეთი,ყვარლი,3593,2016,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ახალგორი,,2016,,პატარა ქალაქები
მცხეთა–მთიანეთი,დუშეთი,3219,2016,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,999,2016,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,6748,2016,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,518,2016,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1044,2016,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,574,2016,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,557,2016,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,961,2016,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6022,2016,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,2681,2016,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,14031,2016,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,4130,2016,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,1470,2016,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,5190,2016,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,2609,2016,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,3451,2016,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ხობი,3709,2016,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,2237,2016,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,1539,2016,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,7255,2016,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,6230,2016,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ბორჯომი,3611,2016,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,3873,2016,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,20760,2016,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,7537,2016,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,12439,2016,,დიდი ქალაქები
